127.0.0.1, 2018-10-22 15:27:41, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.003430
127.0.0.1, 2018-10-22 15:27:42, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000907
127.0.0.1, 2018-10-22 15:27:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
127.0.0.1, 2018-10-22 15:27:52, POST, /start/default/user/register, HTTP/1.1, 303, 0.024047
127.0.0.1, 2018-10-22 15:27:52, GET, /start/default/add, HTTP/1.1, 200, 0.016169
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000545
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001499
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.002466
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001694
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002245
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002479
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000591
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001034
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000793
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000945
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000417
127.0.0.1, 2018-10-22 15:27:52, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000321
127.0.0.1, 2018-10-22 15:27:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000178
127.0.0.1, 2018-10-22 15:28:01, POST, /start/default/add, HTTP/1.1, 303, 0.016817
127.0.0.1, 2018-10-22 15:28:01, GET, /start/default/index, HTTP/1.1, 200, 0.021586
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001637
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.003320
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001642
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.002033
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000735
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001253
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.003145
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002354
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001944
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000989
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.001634
127.0.0.1, 2018-10-22 15:28:01, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000309
127.0.0.1, 2018-10-22 15:28:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000192
127.0.0.1, 2018-10-22 15:28:12, GET, /start/default/add_reply/1, HTTP/1.1, 303, 0.014037
127.0.0.1, 2018-10-22 15:28:12, GET, /start/default/index, HTTP/1.1, 200, 0.017700
127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000565
127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.005412
127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.003760
127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002996
127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.004439
127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.004566
127.0.0.1, 2018-10-22 15:28:12, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.004197
